rooms,area,floor,repaired,terrace,region,district,house_name,builder_name,builder_phone,building_starts,building_ends,installment_pay_month,prepayment_percent,finished_flat,price_per_area,total_price,flat_plan_image_url
2,66.18,7,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,13000000,860340000,"https://service.app.uysot.uz/files/com-12/image/230616-144757-499ea1cf-f406-4387.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144800-d670c6be-d894-4f48.jpg, , "
2,66.18,2,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,14000000,926520000,"https://service.app.uysot.uz/files/com-12/image/230616-144458-31d44cd5-d5e2-4b3b.jpg, https://service.app.uysot.uz/files/com-12/image/230616-144503-cb360d6e-2e4b-421f.jpg, , "
2,66.32,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,18,30,No,12000000,795840000,"https://service.app.uysot.uz/files/com-12/image/221207-190153-2f8393e8-0195-41a9.jpg, https://service.app.uysot.uz/files/com-12/image/221207-190146-14c5d904-362f-46c0.jpg, , "
2,67.15,9,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12500000,839375000,"https://service.app.uysot.uz/files/com-12/image/230616-152252-f59c03e1-6943-48fd.jpg, https://service.app.uysot.uz/files/com-12/image/230802-122651-b096e214-da66-4edc.jpg, https://service.app.uysot.uz/files/com-12/image/230802-124307-baa952f5-6c52-4f01.jpg, https://service.app.uysot.uz/files/com-12/image/230616-152233-40045045-5bcf-4aea.jpg"
2,68.83,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,22,50,No,12000000,825960000,"https://service.app.uysot.uz/files/com-12/image/221207-190427-c87e3060-edd8-46fa.jpg, https://service.app.uysot.uz/files/com-12/image/221207-190432-065b46e7-4da8-42be.jpg, , "
2,70.77,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,849240000,"https://service.app.uysot.uz/files/com-12/image/230616-164323-8684e8ce-d06a-4180.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164319-70144078-d7df-47bf.jpg, , "
2,70.77,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12000000,849240000,not available
2,71.07,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,40,No,12000000,852840000,"https://service.app.uysot.uz/files/com-12/image/230616-164221-03b818cc-39ae-4af5.jpg, https://service.app.uysot.uz/files/com-12/image/230616-164218-1af6ded1-2042-41f6.jpg, , "
2,71.07,10,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,12000000,852840000,not available
2,71.54,1,No,not available,Toshkent shahri,Shayxontohur tumani,Ko'kcha-Oqtepa,LOTUS ART HOUSE MCHJ,998934918004,23-05-2022,23-05-2024,20,50,No,14000000,1001560000,not available
